epoch,train_loss,valid_loss,train_ppl,valid_ppl,valid_bleu,epoch_minutes,tokens_per_sec,steps_total,lr_last
1,5.341992379271304,4.186063267290592,208.9285608193055,65.76338781510934,9.891989836787525,6.519731883207957,26519.53618801291,6441,0.0005506233942743989
2,4.091671957434418,3.516688749194145,59.83985780645779,33.67274475630182,16.998195720522297,6.5942630211512245,26219.801317498746,12882,0.0003893646466591396
3,3.618532035166091,3.2340464144945145,37.282797795579015,25.382156178630737,20.45272966971852,6.795309011141459,25444.06228962246,19323,0.0003179190156588486
4,3.376623480794889,3.0810507647693157,29.271767378623046,21.781277374877742,22.669738710910693,6.644654703140259,26020.95574073521,25764,0.0002753277249084096
5,3.227724821629352,2.9875778406858444,25.2222066218833,19.837574486645767,23.195402532434226,6.630422143141429,26076.811177254618,32205,0.00024626155939487564
6,3.121079383328027,2.927916996181011,22.6708369648405,18.68866137133646,24.246652175356132,6.623762838045756,26103.027881857808,38646,0.00022480560023234816
7,3.0398684195379464,2.8960412740707397,20.902492694491208,18.102341129353825,25.23205191188257,6.658453619480133,25967.03015825469,45087,0.00020812992790901637
8,2.974627364479483,2.860548809170723,19.582324820051145,17.47111261281053,25.34959762129245,6.628927489121755,26082.690801572466,51528,0.00019468799041479835
9,2.9203888523413926,2.8303986489772797,18.548498684748022,16.952217461842046,25.746001905709797,6.6366698265075685,26052.262756612145,57969,0.00018355379554759295
10,2.8737350586611483,2.8266357481479645,17.70301667478233,16.888547815106502,26.033411861244076,6.768803441524506,25543.697279931053,64410,0.00017413457032354024
11,2.834346523345618,2.798708550632,17.019274966853878,16.423423050047916,26.385277138147295,6.594195552666982,26220.069601085856,70851,0.00016603091546514356
12,2.79864168466942,2.7794311456382275,16.422324918771032,16.10985418017889,26.98379170961934,6.549372641245524,26399.51570986953,77292,0.00015896259267472894
13,2.766457283021204,2.77695607021451,15.902197115129164,16.07003037980269,26.843402727815292,6.568536535898844,26322.494362259564,83733,0.0001527263949321898
14,2.737054730623965,2.7722795456647873,15.441438859301801,15.995053939442528,27.444487836955414,6.57354888121287,26302.423419062885,90174,0.00014717089941492984
15,2.711126252372634,2.761050906032324,15.046211807562685,15.816455826282414,28.103504546219344,6.514500427246094,26540.83269459713,96615,0.0001421806491904679
16,2.6869170963347764,2.75910409912467,14.686329517963216,15.78569419401999,27.55535439936953,6.540089138348898,26436.98925028906,103056,0.00013766586614430757
17,2.664692933062296,2.7556536346673965,14.363538301036977,15.731320079192278,27.539006368938907,6.525315892696381,26496.842247572655,109497,0.00013355554568175818
18,2.6426832573029997,2.739501763135195,14.050855130423598,15.47927083136543,27.48862785588073,6.5315975507100426,26471.359387709403,115938,0.00012979269328622432
19,2.6228890380509946,2.7505437955260277,13.775463991304795,15.651140590710682,26.985206452745253,6.5279569586118065,26486.122264078556,122379,0.00012633095961823865
20,2.604487883084088,2.746655333787203,13.524297507449083,15.590399899814937,27.766930143080526,6.51500129699707,26538.79228221833,128820,0.00012313221343179985
1,5.391180407203256,4.202974073588848,219.46228758408924,66.88495631349451,9.758006613423625,6.099922287464142,28344.66696746919,6441,0.0005506233942743989
2,4.140144099139442,3.554980929940939,62.81187193379488,34.9871527542623,16.35866033084093,6.2157927831014,27816.285429365504,12882,0.0003893646466591396
3,3.715017108364961,3.3268095403909683,41.05928953569424,27.84934759403391,18.92291723682968,6.2283507823944095,27760.200455338014,19323,0.0003179190156588486
4,3.499129821158144,3.174266140908003,33.08664812711931,23.909267395380834,20.990434032318454,6.218717392285665,27803.203670137813,25764,0.0002753277249084096
5,3.361540384904103,3.090358406305313,28.833571487108127,21.984956110784594,21.598853825696782,6.1956697305043535,27906.63055711782,32205,0.00024626155939487564
6,3.262271792894934,3.0252022743225098,26.10878356823842,20.598170770875996,22.79805852489481,6.251928464571635,27655.509386707923,38646,0.00022480560023234816
7,3.1856614698295433,2.9851083755493164,24.183279626259285,19.788646725622254,23.6192079461771,6.169353715578715,28025.669151250437,45087,0.00020812992790901637
8,3.1246815928574803,2.943877886980772,22.752649333977963,18.989342238745188,23.598277468912297,6.2422692696253455,27698.303006155875,51528,0.00019468799041479835
9,3.073647862616357,2.917635917663574,21.6206280788854,18.497506101327488,24.606809180548776,6.216690413157145,27812.269026405513,57969,0.00018355379554759295
10,3.030088770039758,2.9150157123804092,20.69906996510009,18.449102279782817,24.830679313034796,6.209965209166209,27842.388870216964,64410,0.00017413457032354024
11,2.9936242056566633,2.8801570758223534,19.95788305034533,17.817071590997145,25.2480808045785,6.203296494483948,27872.320223311573,70851,0.00016603091546514356
12,2.960428372356318,2.851894285529852,19.306240244005334,17.32056087217229,25.79088411199144,6.252534250418345,27652.829889864803,77292,0.00015896259267472894
13,2.930479786814675,2.859365865588188,18.736617922707172,17.45045749159566,25.215073654328528,6.190075798829397,27931.849581617043,83733,0.0001527263949321898
14,2.904039416026669,2.848068866878748,18.247706776057445,17.25442904716949,25.338581287764,6.245392751693726,27684.450423030332,90174,0.00014717089941492984
15,2.88016945045014,2.8337938860058784,17.81729207199051,17.00987207844483,25.744128495236968,6.24504812558492,27685.978176573557,96615,0.0001421806491904679
16,2.857621212809598,2.8240750208497047,17.420039044974658,16.84535617429703,25.464056845525068,6.240357653299967,27706.787860846922,103056,0.00013766586614430757
17,2.8373352212392104,2.8207689374685287,17.070216524642184,16.789755982277978,25.994001553813035,6.2465782284736635,27679.196462891487,109497,0.00013355554568175818
18,2.818289343086649,2.8129863515496254,16.748175770005833,16.65959541366282,25.637025990279014,6.236102477709452,27725.6935295447,115938,0.00012979269328622432
19,2.801472216950979,2.811928912997246,16.468874688825892,16.64198822610549,26.063614142195675,6.519376993179321,26520.97981044948,122379,0.00012633095961823865
20,2.784910274244136,2.801121335476637,16.19836440106688,16.463097079481642,26.326300508690522,6.254125575224559,27645.793810461822,128820,0.00012313221343179985
